"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 08 11:35:20 CST 2021","Wed Dec 08 11:35:20 CST 2021","294","testcase","test_api","TestAPI","","","test_get_token[caseinfo0]","
        获取access_token
        "
"passed","Wed Dec 08 11:35:20 CST 2021","Wed Dec 08 11:35:20 CST 2021","235","testcase","test_api","TestAPI","","","test_add_tag",""
